"","     Year","Total.first.time..first.year.men.who.applied","Total.first.time..first.year.women.who.applied","Total.first.time..first.year.men.who.were.admitted","Total.first.time..first.year.women.who.were.admitted","Total.full.time..first.time..first.year.men.who.enrolled","Total.part.time..first.time..first.year.men.who.enrolled","Total.full.time..first.time..first.year.women.who.enrolled","Total.part.time..first.time..first.year.women.who.enrolled","Number.of.qualified.applicants.placed.on.waiting.list","Number.accepting.a.place.on.the.waiting.list","Number.of.wait.listed.students.admitted"
"","1997   : 1  ","Min.   :2418  ","Min.   :4173  ","Min.   :1242  ","Min.   :1696  ","Min.   :526.0  ","Min.   :0.0000  ","Min.   :684.0  ","Min.   :0.000  ","Min.   :1265  ","Min.   : 437  ","Min.   :  9.00  "
"","1998   : 1  ","1st Qu.:3173  ","1st Qu.:5437  ","1st Qu.:1369  ","1st Qu.:1791  ","1st Qu.:588.0  ","1st Qu.:0.0000  ","1st Qu.:722.0  ","1st Qu.:0.000  ","1st Qu.:1666  ","1st Qu.: 859  ","1st Qu.: 20.00  "
"","1999   : 1  ","Median :3864  ","Median :6604  ","Median :1604  ","Median :1884  ","Median :606.0  ","Median :1.0000  ","Median :737.0  ","Median :1.000  ","Median :1991  ","Median :1168  ","Median : 42.00  "
"","2000   : 1  ","Mean   :3780  ","Mean   :6498  ","Mean   :1649  ","Mean   :1974  ","Mean   :610.9  ","Mean   :0.8235  ","Mean   :756.1  ","Mean   :1.059  ","Mean   :2294  ","Mean   :1118  ","Mean   : 73.65  "
"","2001   : 1  ","3rd Qu.:4457  ","3rd Qu.:7652  ","3rd Qu.:1859  ","3rd Qu.:2107  ","3rd Qu.:652.0  ","3rd Qu.:1.0000  ","3rd Qu.:793.0  ","3rd Qu.:2.000  ","3rd Qu.:2921  ","3rd Qu.:1368  ","3rd Qu.:113.00  "
"","2002   : 1  ","Max.   :5150  ","Max.   :8896  ","Max.   :2101  ","Max.   :2564  ","Max.   :663.0  ","Max.   :3.0000  ","Max.   :827.0  ","Max.   :3.000  ","Max.   :3654  ","Max.   :1533  ","Max.   :242.00  "
"","(Other):11  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
