Sorority,Spring 2014
Alpha Chi Omga,87
Alpha Kappa Alpha,26
Chi Omega,104
Delta Delta Delta,104
Delta Gamma,105
Delta Sigma Theta,10
Gamma Phi Beta,107
Kappa Alpha Theta,107
Kappa Delta,105
Kappa Kappa Gamma,97
Phi Mu,
Pi Beta Phi,97
Sigma Gamma Rho,2
Sigma Iota Alpha,11
Zeta Phi Beta,2
