Fraternities,Spring 2014
Alpha Epsilon Pi,21
Alpha Phi Alpha,6
Alpha Tau Omega,49
Beta Theta Pi,88
Chi Phi,16
Delta Chi,64
Delta Phi,45
Kappa Alpha,44
Kappa Alpha Psi,9
Kappa Delta Rho,78
Kappa Sigma,62
Lambda Chi Alpha,
Omega Psi Phi,4
Phi Beta Sigma,
Phi Kappa Tau,
Pi Kappa Alpha,50
Psi Upsilon,
Sigma Alpha Epsilon,31
Sigma Chi,46
Sigma Phi Epsilon,38
Sigma Pi,51
Theta Delta Chi,
